Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Kpop Charts,@kchartsmaster,2024-05-04T06:36:52.000Z,True,"Most streamed Boygroups on MelOn history:

1. #BTS 13.05B
2. #EXO 8.45B
3. #SEVENTEEN 4.38B
4. #BIGBANG 3.37B
5. #WannaOne 2.97B
6. #BTOB 2.29B
7. #NCTDREAM 2.09B
8. #WINNER 1.92B
9. ",281,3.2K,9.2K,317K,"['#BTS', '#EXO', '#SEVENTEEN', '#BIGBANG', '#WannaOne', '#BTOB', '#NCTDREAM', '#WINNER', '', '']",[],[],https://pbs.twimg.com/profile_images/1284991246356946951/FbR600WF_normal.jpg,https://twitter.com/kchartsmaster/status/1786646157432672322,tweet_id:1786646157432672322
Lebanon Mirror News site,@LebanonMirror,2024-05-03T09:56:29.000Z,False,ما جديد رخص السوق؟! #لبنان #النافعة,0,0,0,64,"['#لبنان', '#النافعة']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786334004418953391,tweet_id:1786334004418953391
Paul • Crypto,@Paul_Crypto_,2024-05-03T03:01:12.000Z,True,600 here!,0,0,0,1.7K,[],[],[],https://pbs.twimg.com/profile_images/1748361043993083904/ajsxZ-rb_normal.jpg,https://twitter.com/Paul_Crypto_/status/1786229492220109169,tweet_id:1786229492220109169
Lebanon Mirror News site,@LebanonMirror,2024-05-03T06:42:15.000Z,False,4 مشروبات ستغير حياتك… نصائح مفيدة لحرق الدهون في أسبوع!,0,0,0,52,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786285122045575339,tweet_id:1786285122045575339
YOONGI'S CHOPSTICKS⁷ᴿᴾᵂᴾ WITH BTS TILL THE END,@shanayasksksks,2024-05-04T06:20:32.000Z,False,BTS pictures you might haven't seen before a thread ,20,1.6K,10K,206K,[],[],['\\U0001f9f5'],https://pbs.twimg.com/profile_images/1783540120089763840/VSjbzxDI_normal.jpg,https://twitter.com/shanayasksksks/status/1786642047019241511,tweet_id:1786642047019241511
Lebanon Mirror News site,@LebanonMirror,2024-05-03T09:38:17.000Z,False,تذاكر طيران مزورة في بيروت…إليكم ما جرى! #لبنان #بيروت,0,0,0,54,"['#لبنان', '#بيروت']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786329422418571621,tweet_id:1786329422418571621
ᆞᆞ,@TheJulyLady,2024-05-02T19:01:18.000Z,False,ربّي لبّيكَ. ,0,1,9,323,[],[],['\\U0001f90d'],https://pbs.twimg.com/profile_images/1786497321619836928/W82g7U0K_normal.jpg,https://twitter.com/TheJulyLady/status/1786108724278435909,tweet_id:1786108724278435909
Lebanon Mirror News site,@LebanonMirror,2024-05-03T20:04:25.000Z,False,“ديل” كبير… وإنسحاب “الرضوان”؟,0,0,0,43,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786486996401111255,tweet_id:1786486996401111255
Lebanon Mirror News site,@LebanonMirror,2024-05-02T21:24:21.000Z,False,زهران يكشف جديد موقوفي التيك توك!#تيك_توك #تيكتوك #لبنان #زهران,0,0,0,100,"['#تيك_توك', '#تيكتوك', '#لبنان', '#زهران']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786144722005688570,tweet_id:1786144722005688570
Lebanon Mirror News site,@LebanonMirror,2024-05-02T21:20:48.000Z,False,وهاب يعطي الحلّ الوحيد للنزوح السوري!#وهاب #النازحين #النازحين_السوريين,0,0,0,53,"['#وهاب', '#النازحين', '#النازحين_السوريين']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786143827671056563,tweet_id:1786143827671056563
Lebanon Mirror News site,@LebanonMirror,2024-05-02T21:18:59.000Z,False,سيناريو أشبه بِـ”كابوس” بإنتظار لبنان#سيناريو #لبنان,0,0,0,92,"['#سيناريو', '#لبنان']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786143370546389175,tweet_id:1786143370546389175
Lebanon Mirror News site,@LebanonMirror,2024-05-02T17:10:34.000Z,False,استعدوا لأسبوع الحرب الأخطر.. واقعة ستقلب الموازين ومواجهة شرسة في لبنان!#حرب #لبنان,0,0,0,54,"['#حرب', '#لبنان']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786080855502315643,tweet_id:1786080855502315643
Lebanon Mirror News site,@LebanonMirror,2024-05-03T07:31:33.000Z,False,إنخفاض سعر صرف الدولار… إليكم ما سجله صباح اليوم#الدولار #سعر_الصرف,0,0,0,53,"['#الدولار', '#سعر_الصرف']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786297529274958019,tweet_id:1786297529274958019
Lebanon Mirror News site,@LebanonMirror,2024-05-03T08:25:04.000Z,False,حركة مالية في لبنان.. هؤلاء روادها!,0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786310997852016821,tweet_id:1786310997852016821
Lebanon Mirror News site,@LebanonMirror,2024-05-03T05:58:16.000Z,False,حظك اليوم وتوقعات الأبراج ليوم الجمعة 3 أيار / مايو 2024,0,0,0,40,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786274053113692281,tweet_id:1786274053113692281
Lebanon Mirror News site,@LebanonMirror,2024-05-03T15:35:22.000Z,False,بالصور: «فندق» في لبنان للكلاب والقطط… طلاء أظافر وخدمة 5 نجوم!,0,0,0,42,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786419285297914161,tweet_id:1786419285297914161
Lebanon Mirror News site,@LebanonMirror,2024-05-03T16:10:41.000Z,False,“للبقاء في أمان عبر الإنترنت”… توصياتٌ من قوى الأمن!,0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786428174609318238,tweet_id:1786428174609318238
Lebanon Mirror News site,@LebanonMirror,2024-05-03T16:06:57.000Z,False,“للبقاء في أمان عبر الإنترنت”… توصياتٌ من قوى الأمن!,0,0,0,32,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786427236025012712,tweet_id:1786427236025012712
Lebanon Mirror News site,@LebanonMirror,2024-05-03T11:36:41.000Z,False,إختلاسات عيتاني – الحريري بملايين الدولارات… وتراخٍ مُلتبس من منصوري! #لبنان #الحريري #عيتاني,0,0,0,45,"['#لبنان', '#الحريري', '#عيتاني']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786359217999282324,tweet_id:1786359217999282324
سَداد,@qanatsadad,2024-05-02T17:03:00.000Z,False,أبرز شعارات المهدويّة - الإمام الخامنئي..,0,6,7,345,[],[],[],https://pbs.twimg.com/profile_images/1578844906289782793/H7a_q5gE_normal.jpg,https://twitter.com/qanatsadad/status/1786078949707047332,tweet_id:1786078949707047332
Lebanon Mirror News site,@LebanonMirror,2024-05-03T16:51:25.000Z,False,منخفض جويّ سيضرب لبنان.. الأب إيلي خنيصر: أمطار غزيرة وعواصف رعديّة,0,0,0,51,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786438424737517841,tweet_id:1786438424737517841
Lebanon Mirror News site,@LebanonMirror,2024-05-03T15:14:38.000Z,False,فضائح وقطب مخفيّة  في “الاعتماد المصرفي”… ماذا عن ملفّ صيرفة؟,0,0,0,74,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786414066619109815,tweet_id:1786414066619109815
BIGHIT MUSIC,@BIGHIT_MUSIC,2024-05-02T15:00:05.000Z,True,#RM #RightPlaceWrongPerson Concept Photo 2,765,56K,115K,1.2M,"['#RM', '#RightPlaceWrongPerson']",[],[],https://pbs.twimg.com/profile_images/1377078197813092352/s8NryGbR_normal.jpg,https://twitter.com/BIGHIT_MUSIC/status/1786048018212585951,tweet_id:1786048018212585951
Lebanon Mirror News site,@LebanonMirror,2024-05-03T10:40:09.000Z,False,كيف سيضبط منصوري سعر الصرف إذا ما توسّعت رقعة الحرب؟#لبنان #منصوري #سعر_الصرف,0,0,0,59,"['#لبنان', '#منصوري', '#سعر_الصرف']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786344992320921652,tweet_id:1786344992320921652
Lebanon Mirror News site,@LebanonMirror,2024-05-02T17:13:40.000Z,False,هل يتم حظر “Tiktok” في لبنان؟#tiktok #TikToker #لبنان #تيك_توك,0,0,0,72,"['#tiktok', '#TikToker', '#لبنان', '#تيك_توك']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786081637379318255,tweet_id:1786081637379318255
Lebanon Mirror News site,@LebanonMirror,2024-05-03T18:01:45.000Z,False,“زلزال 6 درجات”… توقعات راصد الزلازل الهولندي صدقت!,0,0,0,49,[],[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786456126126514248,tweet_id:1786456126126514248
Lebanon Mirror News site,@LebanonMirror,2024-05-02T17:11:36.000Z,False,“إيه” “لأ”… الفريز اللبناني ليس ملوثًا؟!#لبنان #صحة #تلوث,0,0,0,31,"['#لبنان', '#صحة', '#تلوث']",[],[],https://pbs.twimg.com/profile_images/1158448913747251200/nUFjmHc6_normal.jpg,https://twitter.com/LebanonMirror/status/1786081117432381471,tweet_id:1786081117432381471
The NEW 96.5,@new965philly,2024-05-02T18:32:01.000Z,False,Just realized #TheTorturedPoetsDepartment has officially been ours for 13 days ,0,0,2,1K,['#TheTorturedPoetsDepartment'],[],['\\U0001f979'],https://pbs.twimg.com/profile_images/1782259447307309056/RhClNpnu_normal.jpg,https://twitter.com/new965philly/status/1786101352503845024,tweet_id:1786101352503845024
Spon,@spondotapp,2024-05-04T04:23:26.000Z,True,Massive $1000 Giveaway at 50k mkt cap! 1. Like2. Retweet3. Join the Spon - Group chat @ https://t.me/sponapp4. Buy at least $5 worth of SPON @ https://raydium.io/swap/?outputCurrency=yWjza8KMTqUFjsi7xUZY1PxNFnqKfDnRgTCLojfMCx3… 5. Post proof in comments#Spon #cryptocurrency #Giveaway,14,60,61,10K,"['#Spon', '#cryptocurrency', '#Giveaway']",[],"['\\U0001f389', '\\U0001f44d', '\\U0001f503', '\\U0001faf6', '\\U0001f4b0', '\\U0001f9fe']",https://pbs.twimg.com/profile_images/1768006686902501376/ITnntkzD_normal.jpg,https://twitter.com/spondotapp/status/1786612575540531430,tweet_id:1786612575540531430
About Music,@AboutMusicYT,2024-05-04T10:39:56.000Z,True,'FRI(END)S' by Taehyung of BTS re-enters Global Spotify at #179 with 1.394M streams.,105,1.6K,5.6K,70K,[],[],[],https://pbs.twimg.com/profile_images/1540698201862221826/KBYc2_F8_normal.jpg,https://twitter.com/AboutMusicYT/status/1786707326910554118,tweet_id:1786707326910554118
UpdateCharts,@updatecharts,2024-05-04T00:17:03.000Z,True,"""Dreamers"" de Jungkook venceu 3 categorias no 2024 TV & Film Awards.",120,3K,13K,177K,[],[],[],https://pbs.twimg.com/profile_images/1635437892578181121/9_W-FGqW_normal.jpg,https://twitter.com/updatecharts/status/1786550573535301804,tweet_id:1786550573535301804
Kurrco,@Kurrco,2024-05-04T03:38:54.000Z,True,"Drake throwing shots @ A$AP Rocky on 'Family Matters'

""Rakim talking sh*t again, gassed cause you hit my BM first, N**** do the math, who I was hitting then? I ain't even know you rap still cause they only talking bout your fit again""

""Probably gotta have a kid again before you…",1.2K,11K,84K,11M,[],[],[],https://pbs.twimg.com/profile_images/1484975847488602116/LmLcW5v-_normal.jpg,https://twitter.com/Kurrco/status/1786601370079903837,tweet_id:1786601370079903837
Enez Özen,@Enezator,2024-05-03T08:15:11.000Z,True,Legend,329,14K,150K,6.1M,[],[],[],https://pbs.twimg.com/profile_images/1723108003685998592/5NQB1PCV_normal.jpg,https://twitter.com/Enezator/status/1786308510579339312,tweet_id:1786308510579339312
cinesthetic.,@TheCinesthetic,2024-05-03T05:49:00.000Z,True,,125,2.5K,60K,1M,[],[],[],https://pbs.twimg.com/profile_images/1385452682517745667/mfcIUnoX_normal.jpg,https://twitter.com/TheCinesthetic/status/1786271720799920558,tweet_id:1786271720799920558
penelope,@0901pppp0912,2024-05-03T18:18:12.000Z,False,happy family  #RPWP_RM,272,17K,46K,916K,['#RPWP_RM'],[],['\\U0001f970'],https://pbs.twimg.com/profile_images/1784626411531300864/zSz4mChz_normal.jpg,https://twitter.com/0901pppp0912/status/1786460262297678235,tweet_id:1786460262297678235
